Título:;Data:;Link:;Fonte:
Golpe promete devolução do ICMS cobrado em contas de luz | Aos Fatos;12/08/2023;https://g1.globo.com/fato-ou-fake/noticia/2023/08/12/e-fake-que-prf-use-drone-para-multar-motoristas-por-excesso-de-velocidade.ghtml;Fato ou Fake
ONU não disse que cristãos devem acatar valores de esquerda | Aos Fatos;11/08/2023;https://www.aosfatos.org//noticias/golpe-promete-devolucao-icms-contas-de-luz/;Aos Fatos
Site falso do Serasa Limpa Nome espalha golpes no Facebook | Aos Fatos;11/08/2023;https://www.aosfatos.org//noticias/onu-nao-disse-cristaos-esquerda-expulsos-sociedade/;Aos Fatos
Vídeo não mostra crítica de Marília Gabriela ao Exército | Aos Fatos;10/08/2023;https://www.aosfatos.org//noticias/site-falso-serasa-limpa-nome-facebook-golpe/;Aos Fatos
É falso que MC Carol cantou sobre sexo no Criança Esperança | Aos Fatos;10/08/2023;https://www.aosfatos.org//noticias/falso-marilia-gabriela-critica-exercito/;Aos Fatos
STM não recebeu ofício de militares pedindo prisão de Moraes | Aos Fatos;10/08/2023;https://www.aosfatos.org//noticias/falso-mc-carol-sexo-armas-crianca-esperanca/;Aos Fatos
Programa de TV não ofereceu brinquedos sexuais a crianças | Aos Fatos;10/08/2023;https://www.aosfatos.org//noticias/falso-stm-oficio-militares-prisao-alexandre-de-moraes/;Aos Fatos
Ministro engana ao dizer que petróleo não impede meta da ONU | Aos Fatos;09/08/2023;https://www.aosfatos.org//noticias/falso-programa-tv-holandes-brinquedos-sexuais-criancas/;Aos Fatos
É falso que vídeo mostra tiro disparado contra Lula | Aos Fatos;09/08/2023;https://www.aosfatos.org//noticias/ministro-minas-energia-petroleo-meta-climatica/;Aos Fatos
É mentira que Alckmin admitiu fraude nas eleições de 2022 | Aos Fatos;09/08/2023;https://www.aosfatos.org//noticias/falso-video-tiro-contra-lula/;Aos Fatos
Lula não cortou 76% dos empregos da Petrobras no Nordeste | Aos Fatos;09/08/2023;https://www.aosfatos.org//noticias/falso-alckmin-admitiu-fraude-eleicoes-2022/;Aos Fatos
É falso que Tarcísio de Freitas comprou blindados para a PM | Aos Fatos;08/08/2023;https://www.aosfatos.org//noticias/dieese-corte-empregos-petrobras-nordeste/;Aos Fatos
É falso que avião com o cantor Zé Vaqueiro caiu | Aos Fatos;07/08/2023;https://www.aosfatos.org//noticias/falso-tarcisio-blindados-pm-sp/;Aos Fatos
Reajuste para energia solar foi aprovado por Bolsonaro | Aos Fatos;07/08/2023;https://www.aosfatos.org//noticias/falso-aviao-ze-vaqueiro-caiu/;Aos Fatos
É falso que vídeo mostra alunos cheirando cocaína | Aos Fatos;07/08/2023;https://www.aosfatos.org//noticias/aumento-conta-energia-solar-bolsonaro-nao-lula/;Aos Fatos
Vídeo que mostra robô assassino armado é paródia | Aos Fatos;04/08/2023;https://www.aosfatos.org//noticias/falso-video-criancas-cocaina-escola/;Aos Fatos
Lula não antecipou aposentadoria de mulheres de baixa renda | Aos Fatos;03/08/2023;https://www.aosfatos.org//noticias/video-parodia-robo-assassino-armado/;Aos Fatos
Papa não defendeu sacrifício humano em prol do meio ambiente | Aos Fatos;03/08/2023;https://www.aosfatos.org//noticias/falso-governo-lula-antecipou-aposentadoria-mulheres-baixa-renda/;Aos Fatos
Vídeo cria teoria conspiratória para atacar STF e governo | Aos Fatos;03/08/2023;https://www.aosfatos.org//noticias/falso-papa-francisco-sacrificar-alcoolatras/;Aos Fatos
Vídeo de Dino em 8 de janeiro foi gravado após ataques | Aos Fatos;02/08/2023;https://www.aosfatos.org//noticias/video-teoria-conspiratoria-governo-stf-exercito/;Aos Fatos
Inquérito não concluiu que Lula destruiu relógio raro | Aos Fatos;02/08/2023;https://www.aosfatos.org//noticias/video-dino-planalto-8-de-janeiro-apos-ataques-golpistas/;Aos Fatos
Veículos do Exército não exibiram bandeira de Cuba | Aos Fatos;02/08/2023;https://www.aosfatos.org//noticias/texto-satirico-lula-relogio-8-de-janeiro/;Aos Fatos
É falso que prefeito de Ouricuri foi pego com R$ 70 milhões | Aos Fatos;02/08/2023;https://www.aosfatos.org//noticias/exercito-bandeira-cavalaria-nao-cuba/;Aos Fatos
Vídeo mostra obra de escola em cidade baiana, não teatro | Aos Fatos;01/08/2023;https://www.aosfatos.org//noticias/falso-prefeito-ouricuri-70-milhoes/;Aos Fatos
É #FAKE que Haddad tenha tocado Vai novinha ao violão durante entrevista ao g1 | Fato ou Fake | G1;31/07/2023;https://www.aosfatos.org//noticias/video-obra-crisopolis-escola-tempo-integral-nao-teatro/;Aos Fatos
Vídeo sobre uso da camisinha não foi filmado em escola | Aos Fatos;29/07/2023;https://g1.globo.com/fato-ou-fake/noticia/2023/07/29/e-fake-que-haddad-tenha-tocado-vai-novinha-ao-violao-durante-entrevista-ao-g1.ghtml;Fato ou Fake
É falso que Waack e ‘juíza sueca’ denunciaram fraude na urna | Aos Fatos;28/07/2023;https://www.aosfatos.org//noticias/falso-video-uso-preservativo-2017-aula-criancas-governo-lula/;Aos Fatos
Exército não tomou poder e prendeu STF e esquerda no Equador | Aos Fatos;28/07/2023;https://www.aosfatos.org//noticias/falso-video-juiza-sueca-william-waack/;Aos Fatos
Placas veiculares não voltaram a identificar cidade e estado | Aos Fatos;27/07/2023;https://www.aosfatos.org//noticias/falso-exercito-equador-prisao-corte-constitucional/;Aos Fatos
É #FAKE entrevista em queassaltante diz que conheceu namorada quando roubou celular dela | Fato ou Fake | G1;27/07/2023;https://www.aosfatos.org//noticias/lula-nao-determinou-que-placas-veiculares-voltem-a-identificar-cidade-e-estado-de-origem/;Aos Fatos
JN não veiculou editorial celebrando 200 dias sem Bolsonaro | Aos Fatos;27/07/2023;https://g1.globo.com/fato-ou-fake/noticia/2023/07/27/e-fake-entrevista-em-que-assaltante-diz-que-conheceu-namorada-quando-roubou-celular-dela.ghtml;Fato ou Fake
Cenas do curta ‘Era uma vez Favela’ circulam como reais | Aos Fatos;26/07/2023;https://www.aosfatos.org//noticias/falso-editorial-jornal-nacional-200-dias-sem-bolsonaro/;Aos Fatos
Itália não chamou suposta agressão a Moraes de ‘travessura’ | Aos Fatos;26/07/2023;https://www.aosfatos.org//noticias/video-traficantes-armados-rj-gravacao-curta-metragem/;Aos Fatos, Fato ou Fake
"É #FAKE que ministro ataque Bíblia e cristãos em vídeo; cenas são de quadro de humor do grupo Porta dos Fundos | Fato ou Fake | G1";26/07/2023;https://www.aosfatos.org//noticias/falso-governo-italiano-alexandre-de-moraes-travessura-bairro/;Aos Fatos
Vídeo de Janja dançando é manipulado para disseminar ódio | Aos Fatos;26/07/2023;https://g1.globo.com/fato-ou-fake/noticia/2023/07/26/e-fake-que-ministro-ataque-biblia-e-cristaos-em-video-cenas-sao-de-quadro-de-humor-do-grupo-porta-dos-fundos.ghtml;Fato ou Fake
Barroso não mentiu sobre contagem manual de votos | Aos Fatos;25/07/2023;https://g1.globo.com/fato-ou-fake/noticia/2023/07/25/e-fato-video-que-mostra-crianca-afundando-no-mar-apos-boias-se-soltarem-ela-passa-bem.ghtml;Fato ou Fake
Vídeo em que Girão defende impeachment de Barroso é de 2022 | Aos Fatos;24/07/2023;https://www.aosfatos.org//noticias/video-janja-carimbo/;Aos Fatos
Lula não foi chamado de ‘ladrão’ na ONU | Aos Fatos;21/07/2023;https://www.aosfatos.org//noticias/barroso-contagem-manual-votos/;Aos Fatos
Vídeo não mostra opositores de Maduro mortos na Venezuela | Aos Fatos;20/07/2023;https://www.aosfatos.org//noticias/video-2022-girao-impeachment-barroso/;Aos Fatos
É #FAKE que vídeo mostre onça nos Estúdios Globo | Fato ou Fake | G1;20/07/2023;https://www.aosfatos.org//noticias/falso-lula-ladrao-onu/;Aos Fatos
Suspeito de ofender Moraes não recebeu auxílio emergencial | Aos Fatos;20/07/2023;https://www.aosfatos.org//noticias/video-atropelamento-eua-nao-opositores-venezuela/;Aos Fatos
"É #FAKE que peixe tenha roubado celular de turista no Rio; vídeo é das Filipinas | Fato ou Fake | G1";20/07/2023;https://g1.globo.com/fato-ou-fake/noticia/2023/07/20/e-fake-que-video-mostre-onca-nos-estudios-globo.ghtml;Fato ou Fake
Jornal Italiano não disse que filho de Moraes é agressor | Aos Fatos;19/07/2023;https://www.aosfatos.org//noticias/falso-auxilio-emergencial-suspeito-hostilizar-alexandre-de-moraes/;Aos Fatos
É falso que desemprego ‘disparou’ com Lula | Aos Fatos;19/07/2023;https://g1.globo.com/fato-ou-fake/noticia/2023/07/19/e-fake-que-peixe-tenha-roubado-celular-de-turista-no-rio-video-e-das-filipinas.ghtml;Fato ou Fake
É #FAKE que Merval Pereira tenha dito que STF colocou o país à disposição de Lula e dos comunistas | Fato ou Fake | G1;18/07/2023;https://www.aosfatos.org//noticias/falso-jornal-italiano-filho-alexandre-de-moraes/;Aos Fatos
É #FAKE que reforma tributária acabe com direito a herança | Fato ou Fake | G1;18/07/2023;https://www.aosfatos.org//noticias/falso-desemprego-disparou-lula/;Aos Fatos
Lula não foi vaiado e nem xingado em evento no Nordeste | Aos Fatos;18/07/2023;https://g1.globo.com/fato-ou-fake/noticia/2023/07/18/e-fake-que-merval-pereira-tenha-dito-que-stf-colocou-o-pais-a-disposicao-de-lula-e-dos-comunistas.ghtml;Fato ou Fake, Aos Fatos
Posts difundem discurso falso pró-Lula atribuído a Ratinho | Aos Fatos;18/07/2023;https://g1.globo.com/fato-ou-fake/noticia/2023/07/18/e-fake-que-reforma-tributaria-acabe-com-direito-a-heranca.ghtml;Fato ou Fake
Vídeo não mostra agressão a Alexandre de Moraes na Itália | Aos Fatos;17/07/2023;https://www.aosfatos.org//noticias/falso-lula-hostilizado-evento-minha-casa-minha-vida-nordeste/;Aos Fatos
Relatório sobre fome no Brasil usou dados de 2020 a 2022 | Aos Fatos;17/07/2023;https://www.aosfatos.org//noticias/falso-ratinho-discurso-lula/;Aos Fatos
É falso que tribunal europeu negou direito a casamento LGBT+ | Aos Fatos;17/07/2023;https://www.aosfatos.org//noticias/video-alexandre-de-moraes-nova-york-nao-italia/;Aos Fatos
Governo Lula não recusou vacina contra a dengue | Aos Fatos;14/07/2023;https://www.aosfatos.org//noticias/relatorio-onu-fome-no-brasil-dados-2022/;Aos Fatos
Vídeo não mostra plantação de maconha do MST na Bahia | Aos Fatos;13/07/2023;https://www.aosfatos.org//noticias/falso-tribunal-europeu-direitos-humanos-negou-casamento-lgbtq/;Aos Fatos
Jean Wyllys não disse que banirá Bíblia na volta ao Brasil | Aos Fatos;13/07/2023;https://www.aosfatos.org//noticias/falso-governo-lula-recusou-vacina-dengue/;Aos Fatos
Nunes Marques não disse que urnas foram fraudadas | Aos Fatos;13/07/2023;https://www.aosfatos.org//noticias/falso-video-plantacao-maconha-mst-bahia/;Aos Fatos
Vídeo que mostra tensão entre militares é de janeiro de 2023 | Aos Fatos;12/07/2023;https://www.aosfatos.org//noticias/falso-jean-wyllys-banir-biblia/;Aos Fatos
Vídeo de helicóptero jogando bombas em Brasília é antigo | Aos Fatos;12/07/2023;https://www.aosfatos.org//noticias/video-nunes-marques-urnas-fraudadas-voto-fora-de-contexto/;Aos Fatos
Lula não acabou com aposentadoria por tempo de contribuição | Aos Fatos;11/07/2023;https://www.aosfatos.org//noticias/video-antigo-pm-exercito-brasilia/;Aos Fatos
Vídeo de Lula com indígenas foi editado para incluir vaias | Aos Fatos;11/07/2023;https://www.aosfatos.org//noticias/video-bombas-brasilia-antigo-nao-recente/;Aos Fatos
Vídeo não mostra incêndio em estacionamento na França | Aos Fatos;10/07/2023;https://www.aosfatos.org//noticias/falso-governo-lula-fim-aposentadoria-tempo-de-contribuicao/;Aos Fatos
Vídeo não mostra incêndio na Biblioteca de Alcazar na França | Aos Fatos;10/07/2023;https://www.aosfatos.org//noticias/falso-video-lula-vaiado-indigenas/;Aos Fatos
Reforma não muda IR nem estabelece critério de gênero e raça | Aos Fatos;10/07/2023;https://www.aosfatos.org//noticias/video-incendio-carros-australia-nao-franca/;Aos Fatos
É falso que artistas vão a show da Beyoncé com verba pública | Aos Fatos;07/07/2023;https://www.aosfatos.org//noticias/video-incendio-filipinas-nao-biblioteca-alcazar-franca/;Aos Fatos
Governo Lula não mandou PRF apreender pneus importados | Aos Fatos;07/07/2023;https://www.aosfatos.org//noticias/falso-reforma-tributaria-imposto-de-renda-genero-raca/;Aos Fatos
Vídeo viral desinforma sobre a reforma tributária | Aos Fatos;07/07/2023;https://www.aosfatos.org//noticias/falso-artistas-show-beyonce-governo-dinheiro-publico/;Aos Fatos
É #FAKE declaração de prefeito de Santos de que UPA local atende a mais de 50% da população de São Vicente | Fato ou Fake | G1;07/07/2023;https://www.aosfatos.org//noticias/falso-governo-lula-prf-apreensao-pneus-importados/;Aos Fatos
Vídeo não mostra celebração por inelegibilidade de Bolsonaro | Aos Fatos;07/07/2023;https://www.aosfatos.org//noticias/video-engana-sobre-reforma-tributaria/;Aos Fatos
Governo e STF não organizaram ‘Movimento Sem Empresa’ | Aos Fatos;07/07/2023;https://g1.globo.com/fato-ou-fake/noticia/2023/07/07/e-fake-declaracao-de-prefeito-de-santos-de-que-upa-local-atende-a-mais-de-50percent-da-populacao-de-sao-vicente.ghtml;Fato ou Fake
É #FAKE que decreto determine obrigatoriedade do domingo como dia de repouso oficial | Fato ou Fake | G1;06/07/2023;https://www.aosfatos.org//noticias/falso-video-comemoracao-inelegibilidade-bolsonaro/;Aos Fatos
É #FAKE que Shein esteja falindo e que tenha lançado aplicativo que paga por avaliação de produtos | Fato ou Fake | G1;06/07/2023;https://www.aosfatos.org//noticias/falso-movimento-sem-empresa/;Aos Fatos
Etchegoyen não disse que resultado das urnas foi manipulado | Aos Fatos;06/07/2023;https://g1.globo.com/fato-ou-fake/noticia/2023/07/06/e-fake-que-decreto-determine-obrigatoriedade-do-domingo-como-dia-de-repouso-oficial.ghtml;Fato ou Fake
É falso que STM ordenou prisão de comandante da Marinha | Aos Fatos;06/07/2023;https://g1.globo.com/fato-ou-fake/noticia/2023/07/06/e-fake-que-shein-esteja-falindo-e-que-tenha-lancado-aplicativo-que-paga-por-avaliacao-de-produtos.ghtml;Fato ou Fake
Caixa não taxará Pix em R$ 8 a partir de 19 de julho | Aos Fatos;05/07/2023;https://www.aosfatos.org//noticias/falso-etchegoyen-resultado-manipulado-eleicoes-2022/;Aos Fatos
BC não disse que 88 milhões de CPFs fizeram Pix a Bolsonaro | Aos Fatos;05/07/2023;https://www.aosfatos.org//noticias/falso-stm-ordenou-prisao-comandante-da-marinha/;Aos Fatos
Governo Bolsonaro, não Lula, suspendeu Operação Carro-Pipa | Aos Fatos;05/07/2023;https://www.aosfatos.org//noticias/caixa-nao-taxara-pix-8-reais-19-de-julho/;Aos Fatos
É #FAKE que Jackie Chan tenha se emocionado com a filha ao rever carreira: cena é de um filme | Fato ou Fake | G1;04/07/2023;https://www.aosfatos.org//noticias/falso-bc-88-milhoes-cpfs-pix-bolsonaro/;Aos Fatos
Em busca de apoio, Lula engana sobre financiamento rural | Aos Fatos;04/07/2023;https://www.aosfatos.org//noticias/bolsonaro-nao-lula-operacao-carro-pipa-suspensa-nordeste/;Aos Fatos
Vídeo não mostra assassinato da mulher de Marcola | Aos Fatos;04/07/2023;https://g1.globo.com/fato-ou-fake/noticia/2023/07/04/e-fake-que-jackie-chan-tenha-se-emocionado-com-a-filha-ao-rever-carreira-cena-e-de-um-filme.ghtml;Fato ou Fake
Lula não disse que é proibido fazer críticas a ele e ao PT | Aos Fatos;03/07/2023;https://www.aosfatos.org//noticias/declaracoes-lula-agro-plano-safra/;Aos Fatos
Lula não foi vaiado e chamado de ‘ladrão’ em Viamão | Aos Fatos;03/07/2023;https://www.aosfatos.org//noticias/falso-video-assassinato-mulher-traficante-marcola-rio-de-janeiro/;Aos Fatos
Vídeo de caminhões não tem relação com Bolsonaro inelegível | Aos Fatos;03/07/2023;https://www.aosfatos.org//noticias/falso-lula-pt-proibido-fazer-criticas/;Aos Fatos
Regra que reduziu pensão por morte foi criada na gestão Bols | Aos Fatos;03/07/2023;https://www.aosfatos.org//noticias/lula-nao-foi-vaiado-evento-minha-casa-minha-vida-viamao/;Aos Fatos
Lula não embargou obra de ponte entre TO e PA | Aos Fatos;03/07/2023;https://www.aosfatos.org//noticias/video-caminhoes-brasilia-nao-tem-relacao-decisao-tse-bolsonaro-inelegivel/;Aos Fatos
